,uni_adm_yr,gender,age,hsc_pass_yr,curr_semester,scholarship,uni_transport_use,study_hrs_day,study_seat_day,pref_learn_mode,smart_phone_use,personal_comp,socialmed_hrs_day,eng_proficiency,avg_class_attend_perc,probation_record,suspension_record,teacher_consult,skills,skills_hrs_day,relationship_status,co_curricular_activity,co_living,health_issues,previous_sGPA,physical_disability,curr_cGPA,credits_completed,fam_income_month,curr_cGPA_binary,curr_cGPA_quaternary,curr_cGPA_ternary
400,2020,Female,21,2019,8,Yes,Yes,2,2,Offline,Yes,Yes,1,Intermediate,80,No,No,Yes,Machine Learning,3,Single,Yes,Family,Yes,3.4,No,3.5,87,40000.0,1,3,2
401,2021,Male,20,2020,2,No,Yes,1,1,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Market Analysis,1,Single,Yes,Family,No,2.59,No,3.01,24,40000.0,1,2,1
405,2019,Female,22,2018,11,No,Yes,2,1,Offline,Yes,Yes,4,Advance,90,No,No,Yes,"Programming, Networking",3,Single,Yes,Family,Yes,3.66,No,3.37,123,60000.0,1,2,2
406,2020,Male,20,2019,8,No,No,1,3,Offline,Yes,Yes,2,Intermediate,90,Yes,No,No,"Web development skill(Frontend), Wordpress",3,Single,Yes,Bachelor,No,3.5,No,3.12,90,25000.0,1,2,1
407,2019,Female,23,2017,11,No,Yes,2,1,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,"Programming, Web development skill(Frontend)",2,Single,Yes,Family,No,3.59,No,3.55,123,50000.0,1,3,2
408,2021,Male,20,2019,3,Yes,No,4,2,Offline,Yes,Yes,3,Basic,100,No,No,Yes,Programming,3,Single,No,Bachelor,No,3.03,No,3.03,23,7000.0,1,2,1
409,2020,Male,23,2018,8,Yes,No,2,3,Offline,Yes,Yes,2,Basic,90,No,No,Yes,Programming,1,Single,No,Bachelor,Yes,3.94,No,3.9,91,20000.0,1,3,2
411,2020,Female,21,2019,8,Yes,Yes,1,3,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Cyber security,1,Single,Yes,Family,Yes,3.0,No,3.1,87,30000.0,1,2,1
413,2019,Female,21,2018,11,No,No,4,3,Online,Yes,Yes,3,Advance,80,Yes,Yes,Yes,Programming,1,Married,No,Family,No,2.96,No,2.61,96,100000.0,1,1,1
414,2021,Female,21,2019,3,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,1,Single,Yes,Bachelor,No,3.38,No,3.53,24,40000.0,1,3,2
415,2021,Female,20,2020,3,Yes,No,2,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Single,Yes,Bachelor,No,3.12,No,3.07,24,50000.0,1,2,1
417,2019,Female,20,2019,2,No,No,4,2,Offline,Yes,Yes,1,Basic,90,No,No,Yes,Web development skill(Frontend),1,Single,No,Family,No,3.1,No,3.27,88,45000.0,1,2,2
419,2019,Female,22,2018,10,Yes,No,1,1,Offline,Yes,Yes,6,Intermediate,70,No,No,Yes,learning python,1,Single,Yes,Bachelor,Yes,3.52,No,3.78,112,30000.0,1,3,2
420,2019,Male,23,2017,11,Yes,No,3,2,Offline,No,Yes,1,Intermediate,90,No,No,No,Web development skill(Backend),3,In a relationship,Yes,Bachelor,No,4.0,No,3.9,123,25000.0,1,3,2
421,2020,Male,23,2019,8,Yes,Yes,3,1,Offline,Yes,Yes,3,Advance,90,No,No,No,Programming,2,Single,No,Family,No,3.84,No,3.78,90,30000.0,1,3,2
428,2019,Female,22,2017,11,No,No,2,2,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,"Programming, Cyber security",5,Single,Yes,Family,Yes,3.1,No,3.16,122,20000.0,1,2,1
429,2021,Male,19,2020,4,No,Yes,3,4,Offline,Yes,Yes,1,Basic,95,Yes,No,No,Problem solving,1,Single,No,Family,No,2.37,No,2.46,31,50000.0,0,0,0
431,2022,Male,21,2019,2,Yes,No,1,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,Single,No,Bachelor,No,3.58,No,3.58,12,40000.0,1,3,2
434,2021,Male,22,2020,5,No,Yes,3,3,Offline,Yes,Yes,3,Intermediate,90,Yes,No,Yes,Programming,2,Single,Yes,Bachelor,Yes,2.9,No,2.19,36,60000.0,0,0,0
435,2022,Male,20,2019,2,No,No,4,2,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Programming,1,Single,Yes,Bachelor,No,3.32,No,3.25,12,30000.0,1,2,2
439,2022,Male,21,2020,2,Yes,No,4,2,Online,Yes,No,3,Intermediate,98,Yes,No,Yes,Programming,2,Single,Yes,Bachelor,No,3.33,No,2.9,12,25000.0,1,1,1
441,2019,Male,24,2018,11,No,No,2,2,Offline,Yes,Yes,2,Intermediate,80,No,No,Yes,Software  Development skill,3,Single,Yes,Bachelor,No,3.78,No,3.13,124,15000.0,1,2,1
442,2020,Male,21,2019,8,No,No,5,4,Offline,Yes,Yes,3,Intermediate,99,No,No,Yes,Programming,1,Single,Yes,Family,Yes,3.82,No,3.81,89,15000.0,1,3,2
443,2019,Female,23,2018,11,Yes,Yes,4,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Networking,4,Single,Yes,Bachelor,Yes,4.0,No,3.93,118,50000.0,1,3,2
444,2022,Male,21,2019,2,Yes,No,4,2,Offline,Yes,Yes,2,Basic,95,No,No,Yes,Programming,2,Single,No,Bachelor,No,2.55,No,2.55,11,20000.0,1,1,1
446,2019,Female,22,2017,11,No,No,3,1,Online,Yes,Yes,5,Intermediate,90,No,No,No,"Software  Development skill, Web development skill(Backend)",2,Single,No,Bachelor,No,3.65,No,3.59,1,30000.0,1,3,2
448,2019,Male,20,2018,9,No,Yes,2,2,Offline,Yes,Yes,1,Basic,90,No,No,No,Learning frontend,1,Single,No,Family,No,3.7,No,3.45,101,30000.0,1,2,2
449,2022,Male,21,2020,2,Yes,Yes,5,2,Online,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,4,Single,No,Family,No,3.48,No,3.48,11,50000.0,1,2,2
454,2019,Male,23,2018,11,No,No,2,3,Offline,Yes,Yes,2,Intermediate,99,Yes,No,No,"Web development skill(Backend), Networking",0,Single,No,Bachelor,No,3.3,No,3.24,130,15000.0,1,2,1
457,2021,Male,20,2020,4,Yes,No,4,2,Offline,Yes,Yes,2,Basic,85,No,No,No,"Programming, Web development skill(Frontend)",3,Single,No,Bachelor,No,3.0,No,2.8,36,20000.0,1,1,1
458,2022,Male,20,2020,2,Yes,Yes,2,4,Offline,Yes,Yes,1,Intermediate,80,No,No,Yes,"Programming, Game development ",1,Single,No,Bachelor,No,3.7,No,3.7,10,25000.0,1,3,2
460,2021,Male,21,2020,3,Yes,Yes,5,2,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Web development skill(Frontend),4,Single,No,Family,No,3.57,No,3.67,23,35000.0,1,3,2
461,2021,Male,21,2020,3,Yes,No,4,2,Offline,Yes,Yes,1,Advance,97,Yes,No,Yes,Programming,2,Single,Yes,Bachelor,No,3.17,No,2.85,20,30000.0,1,1,1
462,2022,Male,20,2020,2,No,No,4,2,Offline,Yes,Yes,1,Basic,90,No,No,Yes,Programming,3,Single,No,Bachelor,No,3.78,No,3.78,28,25000.0,1,3,2
466,2021,Female,22,2020,4,No,No,4,4,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,1,Single,No,Bachelor,No,1.8,No,2.56,23,20000.0,1,1,1
467,2020,Female,22,2019,8,No,No,4,3,Online,Yes,Yes,3,Intermediate,85,No,No,No,Programming,4,Single,No,Bachelor,No,2.78,No,3.75,78,30000.0,1,3,2
468,2022,Female,20,2021,6,No,No,1,5,Offline,Yes,No,2,Basic,100,Yes,No,Yes,Programming,4,Single,No,Family,No,1.45,No,2.38,50,30000.0,0,0,0
470,2019,Male,23,2019,10,Yes,No,6,3,Offline,Yes,No,4,Advance,80,No,No,No,Programming,1,Single,Yes,Family,No,1.45,No,2.45,126,35000.0,0,0,0
476,2019,Female,22,2019,10,No,No,4,2,Offline,Yes,No,2,Intermediate,90,No,No,Yes,Programming,1,Single,No,Family,Yes,2.8,No,3.65,126,40000.0,1,3,2
477,2019,Male,21,2019,7,No,No,5,3,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,2,Single,No,Family,No,2.11,No,3.47,103,40000.0,1,2,2
478,2022,Male,22,2021,5,No,No,4,1,Offline,Yes,Yes,3,Advance,87,No,No,No,Machine Learning,2,Married,No,Bachelor,No,2.37,No,3.49,67,41000.0,1,2,2
479,2021,Male,23,2019,9,No,No,3,1,Offline,Yes,Yes,3,Intermediate,87,Yes,No,No,Networking,2,Married,No,Family,No,2.75,No,3.8,116,44000.0,1,3,2
480,2021,Female,21,2020,9,No,No,3,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Cyber security,3,In a relationship,No,Bachelor,No,1.98,No,2.91,117,44000.0,1,1,1
481,2020,Female,20,2020,11,No,No,2,1,Online,Yes,Yes,3,Intermediate,100,No,No,Yes,Networking,2,Single,Yes,Family,No,2.64,No,3.7,143,44000.0,1,3,2
486,2021,Female,20,2020,9,No,No,4,2,Offline,Yes,Yes,2,Intermediate,78,Yes,No,No,Machine Learning,4,In a relationship,Yes,Family,No,1.83,No,2.9,97,45000.0,1,1,1
489,2020,Female,23,2018,11,Yes,No,6,2,Offline,Yes,Yes,4,Advance,90,Yes,No,Yes,Programming,5,Single,No,Family,No,2.19,No,3.45,122,50000.0,1,2,2
490,2022,Male,24,2019,4,Yes,No,3,2,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Networking,1,Single,No,Family,No,2.5,No,3.4,46,50000.0,1,2,2
493,2022,Female,19,2021,5,No,No,1,1,Offline,Yes,Yes,4,Basic,78,No,No,Yes,Programming,2,Single,No,Bachelor,No,2.68,No,3.79,80,50000.0,1,3,2
494,2019,Female,22,2017,10,No,No,2,1,Online,Yes,Yes,1,Intermediate,80,Yes,No,No,Networking,1,In a relationship,Yes,Family,No,1.97,No,2.98,79,52000.0,1,1,1
495,2021,Female,20,2020,9,Yes,No,5,2,Offline,Yes,Yes,3,Advance,100,No,No,No,Web development skill(Backend),4,Single,No,Family,No,2.76,No,3.86,127,52000.0,1,3,2
497,2020,Male,21,2020,10,No,No,2,2,Offline,Yes,Yes,2,Basic,100,No,No,No,Cyber security,4,Single,Yes,Bachelor,No,2.62,No,3.75,136,55000.0,1,3,2
498,2021,Female,20,2020,7,No,No,2,1,Offline,Yes,Yes,2,Advance,87,No,No,No,Networking,4,In a relationship,No,Bachelor,No,1.51,No,2.59,99,55000.0,1,1,1
499,2022,Female,22,2021,5,No,No,2,3,Offline,Yes,No,2,Intermediate,95,Yes,No,No,Networking,2,Single,No,Bachelor,No,1.45,No,2.53,65,55000.0,1,1,1
500,2022,Male,21,2021,5,No,No,2,1,Offline,Yes,No,4,Intermediate,100,No,No,No,Machine Learning,2,Single,No,Bachelor,No,2.16,No,3.24,66,57000.0,1,2,1
501,2022,Male,21,2021,6,No,No,2,1,Offline,Yes,Yes,2,Intermediate,100,Yes,No,No,Web development skill(Frontend),2,Married,Yes,Family,No,2.56,No,3.62,143,58000.0,1,3,2
503,2020,Female,23,2019,7,No,No,2,2,Offline,Yes,Yes,3,Intermediate,90,Yes,No,No,Networking,1,In a relationship,Yes,Family,No,2.33,No,3.31,32,60000.0,1,2,2
504,2020,Female,20,2020,11,No,No,2,1,Offline,Yes,Yes,3,Intermediate,100,Yes,No,No,Networking,2,Single,No,Bachelor,No,1.6,No,2.68,143,60000.0,1,1,1
505,2021,Male,20,2021,7,No,No,4,3,Offline,Yes,Yes,6,Intermediate,80,No,No,No,Machine Learning,3,In a relationship,Yes,Bachelor,No,2.11,No,3.22,97,60000.0,1,2,1
507,2020,Male,21,2019,9,No,No,4,2,Online,Yes,Yes,5,Advance,100,No,No,Yes,Machine Learning,2,Single,No,Bachelor,No,2.65,No,3.78,121,61000.0,1,3,2
508,2020,Male,20,2020,10,No,No,2,2,Offline,Yes,Yes,2,Intermediate,100,Yes,No,Yes,Artificial Intelligence,1,In a relationship,Yes,Bachelor,No,2.67,No,3.7,135,61000.0,1,3,2
510,2020,Male,24,2019,11,No,No,3,3,Offline,Yes,Yes,3,Advance,75,Yes,No,Yes,Networking,1,In a relationship,Yes,Bachelor,No,1.65,No,2.68,143,65000.0,1,1,1
511,2020,Male,20,2020,11,No,No,2,1,Online,Yes,Yes,2,Advance,100,Yes,No,No,Cyber security,2,Married,Yes,Family,No,2.5,No,3.61,143,65000.0,1,3,2
513,2020,Female,20,2020,8,No,No,4,2,Online,Yes,Yes,6,Advance,100,No,No,Yes,Web development skill(Backend),1,Single,No,Family,No,1.77,No,2.64,119,66000.0,1,1,1
514,2021,Male,20,2020,7,Yes,No,3,1,Offline,Yes,Yes,5,Intermediate,90,No,No,No,Networking,2,Single,No,Bachelor,No,2.11,No,3.21,102,66000.0,1,2,1
516,2022,Female,20,2021,5,No,No,3,1,Offline,Yes,Yes,3,Basic,100,Yes,No,Yes,Web development skill(Frontend),4,In a relationship,Yes,Bachelor,No,2.77,No,3.84,58,66000.0,1,3,2
517,2019,Male,21,2018,11,Yes,No,5,4,Offline,Yes,Yes,2,Advance,100,No,No,Yes,Programming,3,Single,No,Family,No,2.87,No,3.98,140,67000.0,1,3,2
521,2020,Male,22,2019,9,No,No,3,2,Online,Yes,Yes,3,Basic,100,No,No,No,Networking,2,Single,Yes,Bachelor,No,2.22,No,3.38,124,68000.0,1,2,2
524,2022,Female,21,2021,8,Yes,No,5,2,Online,Yes,Yes,3,Basic,87,No,No,Yes,Cyber security,2,Single,No,Bachelor,No,2.88,No,3.91,127,68000.0,1,3,2
525,2020,Female,23,2018,10,No,No,3,3,Online,Yes,Yes,6,Intermediate,99,Yes,Yes,No,Web development skill(Backend),1,Single,No,Family,No,1.91,No,3.1,123,70000.0,1,2,1
526,2021,Female,20,2020,8,No,No,3,3,Online,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,In a relationship,No,Family,No,1.81,No,2.9,101,70000.0,1,1,1
528,2021,Female,20,2020,9,No,No,1,1,Offline,Yes,Yes,3,Intermediate,76,No,No,Yes,Web development skill(Backend),2,In a relationship,No,Bachelor,No,1.56,No,2.63,104,70000.0,1,1,1
529,2021,Female,24,2021,6,No,No,1,1,Offline,Yes,Yes,4,Basic,100,No,No,No,Programming,2,Single,Yes,Family,Yes,2.23,No,3.39,98,70000.0,1,2,2
530,2022,Female,21,2021,6,No,No,2,1,Offline,Yes,Yes,3,Intermediate,100,Yes,No,Yes,Networking,2,In a relationship,No,Bachelor,No,2.67,No,3.74,77,70000.0,1,3,2
532,2021,Female,20,2020,9,No,No,2,1,Online,Yes,Yes,6,Advance,90,No,No,Yes,Machine Learning,2,In a relationship,No,Family,No,2.44,No,3.88,132,71000.0,1,3,2
533,2022,Male,20,2021,6,No,No,4,2,Offline,Yes,Yes,3,Intermediate,68,Yes,No,No,Networking,4,Married,Yes,Family,No,1.56,No,2.63,70,74000.0,1,1,1
534,2020,Female,21,2019,10,No,No,6,4,Offline,Yes,Yes,4,Intermediate,80,No,No,No,Networking,4,In a relationship,No,Bachelor,Yes,2.21,No,3.21,145,75000.0,1,2,1
535,2020,Male,20,2020,11,No,No,1,3,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Networking,1,In a relationship,No,Bachelor,No,2.61,No,3.68,143,75000.0,1,3,2
536,2021,Female,24,2019,10,No,No,3,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Artificial Intelligence,2,In a relationship,No,Bachelor,No,2.41,No,3.5,136,76000.0,1,3,2
537,2021,Male,20,2020,9,Yes,No,4,1,Offline,Yes,Yes,2,Advance,100,Yes,No,Yes,Machine Learning,2,In a relationship,Yes,Bachelor,No,2.73,No,3.8,121,76000.0,1,3,2
538,2020,Male,22,2020,9,No,No,2,1,Offline,Yes,Yes,2,Advance,100,Yes,No,Yes,Networking,4,Married,No,Family,Yes,2.87,No,3.93,121,76000.0,1,3,2
539,2022,Male,20,2021,5,No,No,3,2,Online,Yes,Yes,3,Intermediate,100,No,No,No,Networking,3,Single,No,Bachelor,No,1.56,No,2.66,71,76000.0,1,1,1
543,2020,Female,22,2019,9,No,No,4,2,Offline,Yes,Yes,2,Intermediate,100,Yes,No,No,Artificial Intelligence,1,In a relationship,No,Bachelor,Yes,2.78,No,3.84,120,77000.0,1,3,2
544,2021,Female,22,2020,6,Yes,No,1,1,Online,Yes,Yes,4,Basic,98,No,No,No,Cyber security,3,In a relationship,Yes,Family,Yes,2.36,Yes,3.19,70,77000.0,1,2,1
545,2020,Female,21,2020,7,No,No,3,2,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Machine Learning,3,Single,No,Family,No,2.03,No,3.15,65,78000.0,1,2,1
546,2020,Female,20,2019,7,Yes,No,5,3,Offline,Yes,Yes,4,Advance,100,No,No,No,Networking,1,Single,Yes,Family,No,2.44,No,3.78,88,79000.0,1,3,2
548,2019,Male,21,2018,10,No,Yes,6,4,Offline,Yes,Yes,3,Advance,80,No,No,No,Cyber security,2,Single,Yes,Family,No,2.54,No,3.76,126,80000.0,1,3,2
549,2020,Female,22,2019,11,Yes,No,2,1,Online,Yes,Yes,4,Intermediate,99,No,No,No,Programming,1,Single,No,Family,No,2.79,No,3.59,125,80000.0,1,3,2
550,2019,Male,20,2019,11,No,No,2,1,Offline,Yes,Yes,6,Basic,77,Yes,Yes,Yes,Cyber security,2,In a relationship,No,Bachelor,No,1.55,No,2.67,144,80000.0,1,1,1
551,2021,Male,21,2020,8,No,No,4,2,Offline,Yes,Yes,2,Advance,100,Yes,No,No,Networking,2,Single,No,Family,Yes,1.25,No,2.57,101,80000.0,1,1,1
552,2020,Female,20,2020,10,No,No,4,2,Offline,Yes,Yes,2,Advance,100,No,No,No,Networking,2,Single,No,Bachelor,No,2.56,No,3.61,131,80000.0,1,3,2
553,2022,Male,20,2021,8,No,No,3,1,Offline,Yes,Yes,3,Intermediate,100,Yes,No,No,Networking,1,Single,Yes,Family,No,2.64,No,3.7,99,81000.0,1,3,2
555,2020,Male,21,2018,10,No,No,3,2,Offline,Yes,Yes,3,Basic,70,No,No,No,Programming,3,In a relationship,No,Bachelor,Yes,1.56,No,2.87,133,85000.0,1,1,1
556,2022,Female,21,2021,6,Yes,No,6,4,Offline,Yes,Yes,5,Intermediate,70,No,No,Yes,Programming,5,In a relationship,No,Family,No,2.1,No,3.37,86,85000.0,1,2,2
558,2021,Female,20,2020,10,No,No,2,2,Online,Yes,Yes,2,Intermediate,100,Yes,No,Yes,Artificial Intelligence,4,Married,No,Family,No,1.54,No,2.64,137,86000.0,1,1,1
559,2019,Male,24,2019,10,No,No,1,3,Offline,Yes,Yes,2,Basic,80,Yes,Yes,Yes,Programming,1,In a relationship,Yes,Family,Yes,2.39,No,3.43,45,87000.0,1,2,2
560,2020,Female,21,2020,8,No,No,4,3,Online,Yes,Yes,2,Advance,80,No,No,No,Cyber security,3,Married,No,Family,No,2.51,No,3.87,103,87000.0,1,3,2
561,2020,Male,21,2020,11,Yes,No,2,2,Offline,Yes,Yes,1,Basic,79,No,No,No,Machine Learning,2,Single,Yes,Bachelor,No,2.81,No,3.89,143,87000.0,1,3,2
562,2021,Female,20,2020,9,No,No,2,1,Offline,Yes,Yes,2,Advance,88,No,No,Yes,Programming,1,Single,No,Bachelor,No,2.45,No,3.54,117,88000.0,1,3,2
563,2021,Male,20,2021,8,No,No,3,1,Offline,Yes,Yes,3,Intermediate,100,Yes,No,No,Artificial Intelligence,2,Single,Yes,Family,Yes,2.66,No,3.72,98,88000.0,1,3,2
564,2020,Female,21,2019,9,Yes,No,6,1,Offline,No,Yes,4,Intermediate,80,No,No,Yes,Programming,1,In a relationship,Yes,Family,Yes,2.04,No,3.23,145,89000.0,1,2,1
565,2021,Male,21,2020,8,No,No,4,2,Online,Yes,Yes,6,Advance,100,No,Yes,No,Web development skill(Backend),2,Single,Yes,Bachelor,No,2.29,No,3.56,100,89000.0,1,3,2
569,2020,Male,21,2019,10,No,No,4,2,Online,Yes,Yes,4,Advance,100,No,No,Yes,Cyber security,2,Married,No,Family,No,2.08,No,3.11,138,90000.0,1,2,1
573,2022,Female,20,2020,4,No,No,2,3,Offline,Yes,Yes,3,Intermediate,100,Yes,No,No,Programming,1,Married,Yes,Family,No,1.26,No,2.33,59,93000.0,0,0,0
575,2020,Male,23,2019,10,No,No,2,3,Offline,Yes,Yes,1,Basic,100,No,No,No,Programming,4,Single,No,Bachelor,No,1.75,No,2.81,137,98000.0,1,1,1
577,2021,Male,21,2019,5,No,No,6,4,Online,Yes,Yes,4,Intermediate,100,Yes,No,Yes,Cyber security,2,Single,Yes,Bachelor,No,1.34,No,2.53,96,100000.0,1,1,1
578,2020,Male,21,2019,8,No,No,5,3,Offline,Yes,Yes,4,Advance,100,No,No,Yes,Programming,3,Single,No,Bachelor,No,2.91,No,3.95,119,100000.0,1,3,2
583,2022,Male,20,2020,6,No,No,2,1,Offline,Yes,Yes,5,Intermediate,100,No,No,No,Networking,4,Single,No,Family,No,2.8,No,3.91,77,110000.0,1,3,2
584,2021,Female,20,2020,8,No,No,5,3,Offline,Yes,Yes,6,Intermediate,100,No,No,No,Networking,1,Married,Yes,Family,No,1.46,No,2.67,101,110000.0,1,1,1
585,2021,Female,21,2020,10,No,No,2,3,Offline,Yes,Yes,2,Intermediate,89,Yes,No,No,Programming,4,Single,No,Bachelor,No,1.67,No,2.73,134,110000.0,1,1,1
586,2021,Male,21,2020,7,No,No,3,1,Offline,Yes,Yes,2,Advance,78,No,No,No,Web development skill(Backend),2,In a relationship,No,Family,No,2.56,No,3.66,88,115000.0,1,3,2
587,2022,Female,19,2022,3,No,No,1,1,Online,Yes,Yes,5,Advance,100,No,No,No,Cyber security,3,Single,No,Family,No,2.67,No,3.78,32,115000.0,1,3,2
590,2022,Male,20,2021,6,No,No,3,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Web development skill(Frontend),1,In a relationship,No,Bachelor,No,2.46,No,3.55,89,120000.0,1,3,2
591,2020,Male,24,2019,10,No,No,1,2,Offline,Yes,Yes,3,Intermediate,83,Yes,No,Yes,Networking,2,Married,Yes,Family,No,1.44,No,2.65,136,123000.0,1,1,1
592,2020,Female,24,2019,11,No,No,3,2,Offline,Yes,Yes,1,Basic,100,No,No,No,Web development skill(Backend),4,In a relationship,Yes,Bachelor,No,2.53,No,3.62,143,128000.0,1,3,2
594,2021,Female,20,2020,9,Yes,No,3,1,Offline,Yes,Yes,3,Intermediate,100,Yes,No,Yes,Web development skill(Backend),4,Single,Yes,Family,No,2.75,No,3.82,103,130000.0,1,3,2
595,2022,Male,21,2021,6,No,No,1,3,Offline,Yes,Yes,2,Advance,100,Yes,No,No,Programming,4,Married,Yes,Family,Yes,1.68,No,2.73,88,130000.0,1,1,1
596,2022,Female,20,2021,5,No,No,4,1,Online,Yes,Yes,2,Intermediate,77,Yes,No,Yes,Programming,4,Married,No,Family,No,1.67,No,2.77,58,130000.0,1,1,1
615,2020,Male,23,2019,9,Yes,No,1,2,Offline,Yes,Yes,5,Basic,100,No,No,Yes,Web development skill(Frontend),1,In a relationship,No,Family,No,2.91,No,3.89,103,10000.0,1,3,2
616,2020,Female,22,2019,11,Yes,No,2,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Single,No,Family,No,2.5,No,3.48,128,25000.0,1,2,2
618,2020,Female,24,2019,9,No,No,5,1,Offline,Yes,Yes,6,Basic,90,No,No,No,Networking,2,Single,Yes,Family,Yes,2.2,Yes,3.5,60,28000.0,1,3,2
620,2022,Male,22,2020,5,Yes,No,2,2,Offline,Yes,No,4,Intermediate,99,No,No,Yes,Programming,2,Single,No,Family,No,2.56,No,3.35,54,30000.0,1,2,2
623,2022,Female,19,2021,7,No,No,4,2,Online,Yes,Yes,5,Intermediate,90,No,No,Yes,Artificial Intelligence,2,In a relationship,Yes,Family,Yes,2.09,No,3.34,100,34000.0,1,2,2
624,2020,Female,20,2020,11,No,No,2,2,Online,Yes,Yes,3,Intermediate,72,No,No,No,Cyber security,4,Married,No,Family,No,2.67,No,3.77,143,37000.0,1,3,2
626,2021,Female,20,2020,8,No,No,2,2,Online,Yes,No,3,Basic,68,No,No,No,Web development skill(Frontend),4,Married,Yes,Family,No,2.67,No,3.74,90,38000.0,1,3,2
630,2020,Male,21,2020,10,No,No,2,3,Offline,Yes,Yes,3,Intermediate,79,Yes,No,Yes,Cyber security,2,In a relationship,No,Bachelor,No,1.46,No,2.55,139,40000.0,1,1,1
631,2020,Male,20,2020,10,Yes,No,2,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Networking,4,In a relationship,No,Bachelor,No,2.65,No,3.79,138,40000.0,1,3,2
633,2022,Female,21,2021,6,Yes,No,2,1,Offline,Yes,Yes,3,Advance,78,Yes,No,Yes,Programming,1,Married,Yes,Family,No,2.77,No,3.8,77,42000.0,1,3,2
634,2020,Male,20,2020,5,No,No,4,2,Online,Yes,Yes,6,Intermediate,90,No,No,No,Machine Learning,2,Single,No,Bachelor,No,1.98,No,2.97,66,45000.0,1,1,1
