,uni_adm_yr,gender,age,hsc_pass_yr,curr_semester,scholarship,uni_transport_use,study_hrs_day,study_seat_day,pref_learn_mode,smart_phone_use,personal_comp,socialmed_hrs_day,eng_proficiency,avg_class_attend_perc,probation_record,suspension_record,teacher_consult,skills,skills_hrs_day,relationship_status,co_curricular_activity,co_living,health_issues,previous_sGPA,physical_disability,curr_cGPA,credits_completed,fam_income_month,curr_cGPA_binary,curr_cGPA_quaternary,curr_cGPA_ternary
639,2021,Female,20,2019,9,No,No,5,2,Offline,Yes,Yes,5,Intermediate,100,No,No,Yes,Artificial Intelligence,1,Single,No,Bachelor,No,2.07,No,3.28,132,48000.0,1,2,2
640,2020,Male,23,2019,10,No,No,2,3,Online,Yes,Yes,2,Intermediate,89,No,No,No,Networking,4,In a relationship,No,Family,Yes,2.45,No,3.51,132,48000.0,1,3,2
641,2020,Female,23,2019,11,Yes,No,5,3,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Cyber security,4,In a relationship,No,Family,No,2.77,No,3.85,144,49000.0,1,3,2
642,2022,Female,21,2021,6,No,No,5,3,Online,Yes,Yes,3,Basic,100,Yes,No,No,Networking,2,Single,No,Family,No,2.63,No,3.7,75,49000.0,1,3,2
643,2020,Male,23,2018,8,Yes,No,3,3,Online,Yes,Yes,2,Advance,80,No,No,No,Cyber security,2,In a relationship,Yes,Family,No,2.81,No,3.79,135,50000.0,1,3,2
644,2021,Female,21,2019,6,No,No,2,1,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,1,Single,No,Family,No,2.44,No,3.44,56,50000.0,1,2,2
645,2021,Male,23,2019,7,No,No,1,1,Online,Yes,Yes,5,Advance,70,No,No,Yes,Cyber security,5,Single,Yes,Family,No,2.5,No,3.22,66,50000.0,1,2,1
646,2021,Female,21,2020,7,No,No,5,3,Offline,Yes,Yes,6,Advance,100,No,No,Yes,Programming,1,In a relationship,Yes,Family,No,2.55,No,3.8,112,50000.0,1,3,2
647,2022,Female,20,2021,5,No,No,3,2,Offline,Yes,Yes,5,Basic,100,No,No,Yes,Programming,2,Single,No,Family,No,2.22,No,3.35,79,50000.0,1,2,2
648,2021,Female,20,2020,9,No,No,3,3,Offline,Yes,Yes,3,Basic,100,No,No,Yes,Web development skill(Frontend),2,Single,Yes,Family,No,2.56,No,3.64,108,53000.0,1,3,2
651,2020,Female,21,2019,11,No,No,4,3,Offline,Yes,Yes,2,Advance,79,No,No,Yes,Artificial Intelligence,2,In a relationship,No,Bachelor,No,2.67,No,3.77,143,55000.0,1,3,2
652,2020,Female,20,2020,9,No,No,4,2,Offline,Yes,No,6,Advance,100,No,No,No,Artificial Intelligence,2,Single,Yes,Family,No,2.31,No,3.44,138,55000.0,1,2,2
653,2020,Male,24,2019,11,No,No,2,2,Offline,Yes,Yes,3,Intermediate,76,Yes,No,Yes,Networking,4,Married,Yes,Family,No,1.26,No,2.37,143,56000.0,0,0,0
655,2021,Female,20,2020,9,No,No,2,3,Offline,Yes,Yes,2,Advance,100,Yes,No,No,Programming,4,In a relationship,Yes,Bachelor,No,2.64,No,3.71,129,59000.0,1,3,2
656,2021,Male,20,2020,10,No,No,1,2,Offline,Yes,Yes,2,Advance,100,Yes,No,No,Programming,2,In a relationship,Yes,Bachelor,No,2.76,No,3.81,134,59000.0,1,3,2
659,2021,Female,23,2019,5,No,No,3,2,Offline,Yes,Yes,6,Intermediate,90,Yes,No,Yes,Programming,4,In a relationship,Yes,Family,No,2.61,No,3.57,130,60000.0,1,3,2
660,2021,Female,23,2019,7,Yes,No,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Networking,2,Single,Yes,Family,No,2.85,No,3.79,66,60000.0,1,3,2
667,2021,Female,20,2021,7,Yes,No,5,3,Offline,Yes,Yes,2,Advance,100,No,No,Yes,Networking,1,Married,No,Family,No,2.66,No,3.83,102,60000.0,1,3,2
669,2022,Female,20,2021,5,No,No,3,2,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Networking,4,Married,No,Family,No,2.87,No,3.91,61,62000.0,1,3,2
671,2021,Female,20,2020,9,No,No,4,2,Online,Yes,Yes,2,Advance,86,No,No,Yes,Artificial Intelligence,2,Single,Yes,Bachelor,No,1.56,No,2.66,120,64000.0,1,1,1
674,2022,Female,19,2022,3,No,No,3,1,Offline,Yes,Yes,3,Advance,95,No,No,No,Machine Learning,1,Single,No,Bachelor,No,2.78,No,3.89,35,65000.0,1,3,2
675,2019,Male,24,2018,11,No,No,5,2,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,In a relationship,No,Bachelor,Yes,1.67,No,2.73,143,66000.0,1,1,1
678,2022,Male,21,2021,5,No,No,4,2,Offline,Yes,Yes,2,Advance,85,No,No,No,Web development skill(Frontend),4,In a relationship,Yes,Bachelor,No,1.56,No,2.63,65,66000.0,1,1,1
679,2021,Female,23,2019,7,No,No,2,2,Online,Yes,Yes,6,Intermediate,100,No,No,Yes,Programming,1,In a relationship,No,Family,No,2.7,No,3.5,66,67000.0,1,3,2
680,2021,Female,20,2020,9,No,No,2,2,Offline,Yes,No,2,Intermediate,89,Yes,No,Yes,Networking,4,Single,No,Family,No,2.76,No,3.8,113,67000.0,1,3,2
681,2021,Male,22,2021,8,No,No,2,2,Offline,Yes,Yes,3,Intermediate,68,Yes,No,No,Cyber security,4,Single,Yes,Bachelor,No,1.45,No,2.56,88,67000.0,1,1,1
682,2020,Male,20,2020,8,No,No,5,3,Online,Yes,Yes,6,Advance,90,No,No,No,Programming,2,Married,Yes,Family,No,1.55,No,2.76,77,68000.0,1,1,1
683,2021,Male,20,2020,9,No,No,2,3,Offline,Yes,Yes,2,Intermediate,87,No,No,No,Networking,4,Single,No,Bachelor,No,2.67,No,3.73,101,68000.0,1,3,2
684,2021,Female,21,2020,9,No,No,2,2,Offline,Yes,Yes,3,Advance,86,No,No,Yes,Artificial Intelligence,1,Single,Yes,Bachelor,Yes,2.86,No,3.9,119,68000.0,1,3,2
685,2020,Female,22,2018,6,No,No,4,3,Offline,Yes,Yes,2,Intermediate,80,No,No,No,Cyber security,3,Single,No,Family,Yes,2.03,No,3.25,59,70000.0,1,2,2
687,2021,Female,22,2019,8,Yes,No,4,3,Offline,Yes,No,3,Advance,100,No,No,No,Networking,3,Single,Yes,Bachelor,No,2.66,No,3.78,109,70000.0,1,3,2
688,2022,Female,20,2021,5,No,No,6,2,Online,Yes,Yes,3,Intermediate,100,No,No,No,Programming,2,In a relationship,No,Family,No,2.11,No,3.26,87,70000.0,1,2,2
689,2022,Male,19,2021,5,No,No,3,3,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Networking,4,Single,No,Family,No,1.67,No,2.7,77,70000.0,1,1,1
690,2019,Male,23,2019,11,Yes,No,3,2,Offline,Yes,Yes,5,Advance,97,No,No,Yes,Programming,3,Single,Yes,Bachelor,No,2.4,No,3.44,139,71000.0,1,2,2
693,2021,Male,20,2021,9,No,No,1,3,Offline,Yes,Yes,3,Intermediate,87,Yes,No,Yes,Web development skill(Frontend),4,In a relationship,Yes,Family,No,2.45,No,3.56,123,74000.0,1,3,2
694,2019,Male,21,2019,11,Yes,No,6,4,Offline,Yes,Yes,2,Advance,100,No,No,Yes,Programming,3,Single,No,Bachelor,No,2.77,No,3.87,139,75000.0,1,3,2
695,2021,Female,20,2020,8,No,No,3,1,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Programming,2,Single,Yes,Bachelor,No,2.53,No,3.6,95,75000.0,1,3,2
698,2020,Female,20,2020,11,No,No,1,3,Offline,Yes,Yes,2,Intermediate,76,No,No,No,Programming,2,Married,Yes,Family,No,2.61,No,3.7,144,77000.0,1,3,2
702,2020,Female,22,2017,11,No,No,1,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,Networking,1,Married,No,Family,Yes,2.11,No,3.56,132,78000.0,1,3,2
703,2020,Male,24,2019,10,No,No,3,2,Offline,Yes,Yes,5,Intermediate,77,No,No,No,Artificial Intelligence,1,Single,No,Bachelor,No,1.59,No,2.62,132,78000.0,1,1,1
705,2021,Male,20,2020,6,No,No,6,3,Online,Yes,No,3,Advance,100,No,No,No,Networking,1,Single,Yes,Bachelor,No,2.76,No,3.77,97,78000.0,1,3,2
706,2021,Male,21,2020,9,No,No,2,3,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Web development skill(Frontend),4,Single,Yes,Bachelor,No,2.76,No,3.8,124,78000.0,1,3,2
707,2021,Male,20,2020,8,No,No,3,3,Offline,Yes,No,2,Intermediate,100,No,No,No,Cyber security,4,Single,No,Bachelor,No,2.61,No,3.7,98,79000.0,1,3,2
708,2020,Female,20,2020,11,Yes,No,1,3,Offline,Yes,Yes,3,Basic,100,No,No,No,Programming,4,In a relationship,No,Family,No,2.75,No,3.86,143,79000.0,1,3,2
710,2020,Male,20,2019,9,Yes,No,6,4,Offline,Yes,Yes,3,Advance,100,No,No,No,Programming,3,Single,No,Family,No,2.77,No,3.87,125,80000.0,1,3,2
711,2022,Male,21,2021,5,No,No,2,2,Offline,Yes,Yes,5,Intermediate,78,No,No,Yes,Artificial Intelligence,2,Single,Yes,Family,No,1.79,No,2.82,71,80000.0,1,1,1
713,2021,Male,20,2020,9,No,No,4,2,Online,Yes,Yes,5,Intermediate,100,No,No,Yes,Web development skill(Backend),1,In a relationship,No,Bachelor,No,2.08,No,3.21,113,83000.0,1,2,1
721,2020,Female,21,2020,10,No,No,2,1,Offline,Yes,Yes,2,Basic,86,Yes,No,Yes,Artificial Intelligence,4,Single,No,Bachelor,No,1.57,No,2.65,135,89000.0,1,1,1
722,2020,Male,24,2019,10,No,No,3,4,Offline,Yes,Yes,5,Advance,100,No,No,No,Networking,2,Single,Yes,Bachelor,No,2.05,No,3.45,85,90000.0,1,2,2
724,2021,Female,20,2020,8,No,No,2,2,Offline,Yes,No,2,Advance,100,Yes,No,No,Programming,1,In a relationship,Yes,Family,No,2.67,No,3.73,93,90000.0,1,3,2
725,2022,Male,22,2021,6,No,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development skill(Backend),2,Single,No,Bachelor,No,1.56,No,2.67,71,90000.0,1,1,1
726,2020,Male,24,2017,9,No,No,3,2,Online,Yes,Yes,2,Intermediate,70,Yes,No,No,Networking,2,In a relationship,Yes,Family,Yes,1.89,No,3.18,113,95000.0,1,2,1
727,2021,Female,20,2019,7,No,No,4,2,Offline,Yes,Yes,6,Advance,100,No,No,No,Web development skill(Backend),1,Single,No,Family,No,2.76,No,3.88,109,95000.0,1,3,2
728,2022,Male,20,2021,6,Yes,No,5,3,Offline,Yes,Yes,2,Advance,76,Yes,No,No,Programming,1,In a relationship,Yes,Bachelor,No,2.7,No,3.87,78,97000.0,1,3,2
729,2022,Male,20,2020,5,No,No,1,1,Online,Yes,Yes,2,Intermediate,78,Yes,No,Yes,Networking,1,In a relationship,No,Family,No,1.81,No,2.84,71,98000.0,1,1,1
732,2019,Female,22,2019,6,No,No,4,2,Offline,Yes,Yes,4,Intermediate,80,No,No,Yes,Programming,1,Single,Yes,Family,No,2.45,No,3.5,16,100000.0,1,3,2
736,2021,Male,24,2019,10,No,No,1,2,Online,Yes,Yes,3,Basic,100,Yes,No,No,Networking,4,Married,Yes,Family,No,2.87,No,3.91,140,110000.0,1,3,2
740,2022,Female,21,2021,5,No,No,2,2,Offline,Yes,Yes,3,Advance,100,Yes,No,Yes,Web development skill(Frontend),4,Married,No,Family,No,2.56,No,3.64,68,113000.0,1,3,2
741,2021,Male,20,2020,7,No,No,3,2,Offline,Yes,No,3,Basic,100,No,No,No,Programming,3,Single,No,Bachelor,No,1.99,No,2.94,88,120000.0,1,1,1
743,2020,Male,20,2020,11,No,No,3,3,Offline,Yes,Yes,3,Advance,100,No,No,No,Artificial Intelligence,1,In a relationship,No,Bachelor,No,1.46,No,2.51,143,122000.0,1,1,1
765,2020,Male,20,2020,7,Yes,Yes,6,2,Online,Yes,Yes,4,Advance,70,No,No,No,Programming,3,Single,No,Family,No,1.6,No,2.9,30,20000.0,1,1,1
768,2022,Female,21,2021,6,No,Yes,2,2,Offline,Yes,No,3,Advance,100,Yes,No,Yes,Programming,2,In a relationship,Yes,Bachelor,No,1.47,No,2.54,88,32000.0,1,1,1
770,2021,Male,23,2020,5,No,Yes,6,5,Offline,Yes,Yes,4,Basic,90,No,No,No,Web development skill(Backend),5,Single,Yes,Bachelor,No,2.45,No,2.39,40,35000.0,0,0,0
771,2021,Male,19,2021,8,No,Yes,3,3,Online,Yes,Yes,2,Advance,89,No,No,No,Cyber security,4,Single,No,Family,No,1.87,No,2.8,136,35000.0,1,1,1
773,2020,Male,24,2019,11,No,Yes,1,3,Offline,Yes,Yes,2,Advance,100,Yes,No,No,Cyber security,2,In a relationship,No,Bachelor,No,2.9,No,3.92,144,37000.0,1,3,2
776,2021,Female,22,2021,7,No,Yes,4,2,Offline,Yes,Yes,5,Advance,100,No,No,No,Cyber security,2,In a relationship,No,Family,No,1.98,No,3.03,111,39000.0,1,2,1
778,2021,Male,20,2020,9,Yes,Yes,5,4,Offline,Yes,Yes,3,Advance,100,No,No,No,Cyber security,3,Single,No,Family,No,2.77,No,3.96,129,42000.0,1,3,2
780,2020,Female,21,2019,11,No,Yes,3,1,Online,Yes,Yes,3,Intermediate,70,No,No,No,Programming,2,In a relationship,No,Bachelor,Yes,2.1,No,3.2,137,45000.0,1,2,1
785,2020,Female,23,2018,11,Yes,Yes,1,1,Offline,Yes,No,2,Advance,100,No,No,No,Programming,3,Single,Yes,Family,Yes,2.53,No,3.81,132,50000.0,1,3,2
786,2022,Male,23,2020,8,No,Yes,3,4,Offline,Yes,Yes,3,Advance,98,No,No,Yes,Web development skill(Frontend),2,In a relationship,No,Family,No,2.75,No,3.64,18,50000.0,1,3,2
788,2021,Female,20,2020,9,Yes,Yes,6,3,Online,Yes,Yes,3,Intermediate,76,No,No,Yes,Artificial Intelligence,3,Single,Yes,Family,No,2.77,No,3.8,129,50000.0,1,3,2
792,2020,Male,24,2019,10,Yes,Yes,6,2,Offline,Yes,Yes,3,Advance,100,No,No,No,Cyber security,1,Married,Yes,Family,No,2.02,No,3.11,134,53000.0,1,2,1
793,2021,Male,21,2021,9,No,Yes,4,2,Offline,Yes,Yes,6,Intermediate,70,No,No,Yes,Programming,2,In a relationship,Yes,Bachelor,No,1.98,No,2.97,105,53000.0,1,1,1
794,2020,Male,21,2019,9,No,Yes,3,2,Online,Yes,Yes,5,Advance,100,No,No,No,Cyber security,1,Single,Yes,Family,No,2.56,No,3.79,132,55000.0,1,3,2
795,2019,Male,23,2019,11,No,Yes,3,1,Online,Yes,Yes,2,Intermediate,100,Yes,No,No,Networking,1,Married,Yes,Family,No,1.54,No,2.66,143,55000.0,1,1,1
796,2020,Male,23,2019,11,No,Yes,3,3,Offline,Yes,Yes,1,Intermediate,100,No,No,No,Programming,1,Single,Yes,Bachelor,No,1.56,No,2.65,143,55000.0,1,1,1
798,2020,Male,22,2020,10,No,Yes,1,2,Offline,Yes,No,2,Intermediate,100,No,No,No,Web development skill(Backend),2,Single,No,Bachelor,Yes,2.76,No,3.8,136,55000.0,1,3,2
799,2022,Female,20,2021,4,No,Yes,3,2,Offline,Yes,Yes,2,Intermediate,85,No,No,Yes,Programming,2,Single,Yes,Bachelor,No,1.56,No,2.97,67,55000.0,1,1,1
801,2020,Female,21,2019,10,No,Yes,5,2,Online,Yes,Yes,4,Advance,90,No,No,Yes,Machine Learning,2,Single,Yes,Family,No,1.95,No,2.92,139,58000.0,1,1,1
805,2020,Male,23,2019,11,Yes,Yes,4,2,Online,Yes,Yes,5,Intermediate,95,Yes,No,Yes,Networking,5,In a relationship,Yes,Bachelor,No,1.33,No,2.99,104,60000.0,1,1,1
806,2021,Female,20,2020,9,No,Yes,2,1,Offline,Yes,No,3,Intermediate,100,Yes,No,Yes,Artificial Intelligence,2,In a relationship,Yes,Bachelor,No,2.56,No,3.63,106,60000.0,1,3,2
807,2022,Male,22,2022,3,Yes,Yes,4,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Web development skill(Frontend),2,Single,No,Bachelor,No,2.81,No,3.97,51,60000.0,1,3,2
809,2022,Male,23,2020,5,Yes,Yes,2,3,Online,Yes,Yes,3,Basic,90,No,No,No,Networking,3,Single,Yes,Family,No,2.33,No,3.68,43,65000.0,1,3,2
810,2019,Male,24,2018,11,No,Yes,3,2,Online,Yes,Yes,5,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,Single,No,Bachelor,Yes,2.22,No,3.45,132,66000.0,1,2,2
812,2022,Female,20,2021,5,No,Yes,4,2,Online,Yes,Yes,3,Intermediate,100,No,No,No,Programming,1,Single,Yes,Bachelor,Yes,1.76,No,2.82,62,66000.0,1,1,1
813,2022,Female,20,2021,5,Yes,Yes,5,3,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Web development skill(Backend),2,Single,Yes,Family,Yes,2.66,No,3.79,58,67000.0,1,3,2
815,2020,Female,21,2020,11,No,Yes,4,2,Offline,Yes,Yes,3,Intermediate,87,No,No,Yes,Networking,4,Married,No,Family,No,2.71,No,3.78,143,68000.0,1,3,2
818,2021,Female,22,2018,6,Yes,Yes,2,2,Online,Yes,Yes,1,Intermediate,100,No,No,Yes,Web development skill(Frontend),1,Single,No,Family,No,2.77,No,3.56,56,70000.0,1,3,2
822,2020,Male,20,2020,10,No,Yes,1,3,Offline,Yes,Yes,2,Advance,87,Yes,No,No,Networking,1,In a relationship,No,Bachelor,No,2.44,No,3.56,135,70000.0,1,3,2
823,2022,Female,20,2021,6,No,Yes,4,3,Offline,Yes,Yes,2,Advance,100,No,No,Yes,Web development skill(Frontend),1,In a relationship,Yes,Bachelor,Yes,1.56,No,2.64,78,70000.0,1,1,1
824,2022,Female,20,2021,5,No,Yes,3,3,Offline,Yes,Yes,2,Advance,100,No,No,Yes,Networking,1,In a relationship,No,Bachelor,No,1.76,No,2.84,58,70000.0,1,1,1
825,2022,Female,20,2020,4,No,Yes,5,3,Offline,Yes,Yes,6,Intermediate,70,No,No,Yes,Web development skill(Frontend),2,In a relationship,Yes,Family,No,1.9,No,3.13,89,71000.0,1,2,1
826,2021,Male,21,2020,6,No,Yes,4,2,Offline,Yes,Yes,6,Intermediate,100,No,No,Yes,Programming,3,Single,No,Family,No,1.99,No,3.05,79,71000.0,1,2,1
828,2020,Female,20,2020,11,Yes,Yes,4,1,Offline,Yes,Yes,2,Intermediate,100,Yes,No,No,Networking,1,Married,No,Family,No,2.78,No,3.83,143,74000.0,1,3,2
829,2020,Male,22,2019,9,Yes,Yes,3,4,Offline,Yes,Yes,6,Advance,100,No,No,No,Programming,3,Single,No,Bachelor,Yes,1.81,No,2.95,137,75000.0,1,1,1
832,2019,Male,24,2018,11,No,Yes,4,2,Online,Yes,Yes,6,Intermediate,77,No,No,Yes,Cyber security,2,Single,No,Family,Yes,2.23,No,3.65,145,76000.0,1,3,2
833,2020,Female,21,2019,7,No,Yes,3,1,Online,Yes,Yes,6,Basic,86,No,No,No,Web development skill(Backend),3,Single,No,Family,Yes,2.13,No,3.28,98,77000.0,1,2,2
834,2019,Male,23,2019,11,Yes,Yes,5,3,Offline,Yes,Yes,5,Intermediate,100,No,No,Yes,Machine Learning,2,Single,Yes,Family,No,2.66,No,3.85,145,77000.0,1,3,2
835,2020,Female,20,2020,11,No,Yes,3,3,Online,Yes,No,3,Intermediate,100,No,No,Yes,Web development skill(Frontend),4,Single,Yes,Family,No,2.87,No,3.9,143,77000.0,1,3,2
837,2021,Female,22,2021,10,No,Yes,2,3,Online,Yes,No,1,Intermediate,100,No,No,No,Web development skill(Backend),2,In a relationship,Yes,Family,No,1.38,No,2.51,134,77000.0,1,1,1
839,2020,Female,20,2019,8,No,Yes,3,1,Offline,Yes,No,6,Intermediate,80,No,No,No,Web development skill(Backend),3,Single,No,Family,No,2.11,No,3.46,101,78000.0,1,2,2
841,2021,Female,19,2021,7,No,Yes,3,2,Offline,Yes,Yes,5,Intermediate,100,No,No,No,Artificial Intelligence,2,Single,No,Bachelor,No,2.45,No,3.76,100,78000.0,1,3,2
842,2021,Male,20,2020,10,No,Yes,2,3,Offline,Yes,Yes,2,Intermediate,100,Yes,No,No,Networking,4,Single,Yes,Family,No,2.67,No,3.7,132,79000.0,1,3,2
843,2021,Male,21,2021,9,Yes,Yes,3,3,Online,Yes,Yes,2,Basic,100,Yes,No,Yes,Programming,2,In a relationship,Yes,Family,No,2.61,No,3.77,123,79000.0,1,3,2
845,2020,Male,23,2019,9,No,Yes,1,1,Offline,Yes,Yes,5,Basic,100,No,No,Yes,Networking,1,Married,No,Bachelor,No,2.89,No,3.89,102,80000.0,1,3,2
846,2021,Female,20,2020,9,No,Yes,2,2,Offline,Yes,Yes,3,Basic,100,Yes,No,No,Cyber security,4,Married,Yes,Family,No,1.68,No,2.71,101,80000.0,1,1,1
847,2020,Male,20,2020,11,No,Yes,1,1,Offline,Yes,Yes,3,Advance,100,No,No,Yes,Cyber security,2,In a relationship,Yes,Bachelor,No,1.63,No,2.7,143,80000.0,1,1,1
848,2021,Male,20,2021,7,No,Yes,2,1,Offline,Yes,Yes,2,Advance,95,No,No,Yes,Machine Learning,3,In a relationship,No,Family,No,1.56,No,2.64,97,80000.0,1,1,1
849,2020,Male,20,2020,11,No,Yes,4,1,Offline,Yes,Yes,2,Intermediate,100,Yes,No,Yes,Artificial Intelligence,4,In a relationship,Yes,Bachelor,No,2.75,No,3.8,143,81000.0,1,3,2
850,2020,Male,22,2018,7,Yes,Yes,6,3,Offline,Yes,No,3,Advance,100,No,No,No,Web development skill(Backend),3,Single,No,Family,No,2.56,No,3.95,115,85000.0,1,3,2
851,2020,Female,22,2020,11,No,Yes,2,3,Offline,Yes,Yes,1,Intermediate,100,Yes,No,No,Web development skill(Backend),4,Married,No,Family,No,2.56,No,3.66,143,86000.0,1,3,2
852,2019,Male,24,2018,11,No,Yes,5,2,Offline,Yes,Yes,3,Intermediate,89,Yes,No,No,Networking,4,Single,Yes,Bachelor,No,1.76,No,2.89,143,87000.0,1,1,1
853,2020,Male,23,2019,10,No,Yes,2,2,Offline,Yes,Yes,3,Intermediate,79,Yes,No,No,Networking,1,Single,Yes,Bachelor,No,2.87,No,3.91,139,88000.0,1,3,2
855,2019,Male,21,2018,11,Yes,Yes,2,1,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Machine Learning,2,In a relationship,Yes,Bachelor,Yes,2.57,No,3.88,145,89000.0,1,3,2
856,2021,Female,20,2020,10,No,Yes,3,3,Offline,Yes,Yes,1,Intermediate,100,No,No,No,Machine Learning,2,Single,No,Bachelor,No,2.55,No,3.6,135,89000.0,1,3,2
857,2022,Female,19,2021,4,Yes,Yes,5,2,Offline,Yes,Yes,4,Advance,100,No,No,Yes,Machine Learning,2,Single,Yes,Family,No,2.56,No,3.89,29,89000.0,1,3,2
858,2019,Male,24,2019,11,Yes,Yes,6,3,Online,Yes,No,2,Advance,100,No,No,Yes,Artificial Intelligence,1,Single,Yes,Family,No,2.87,No,3.94,143,90000.0,1,3,2
859,2019,Female,24,2019,11,No,No,1,2,Offline,Yes,No,5,Advance,100,No,No,Yes,Networking,2,Single,Yes,Bachelor,No,2.48,No,3.78,144,90000.0,1,3,2
862,2022,Male,20,2021,5,No,Yes,2,2,Offline,Yes,No,3,Advance,100,No,No,Yes,Web development skill(Backend),2,In a relationship,No,Family,Yes,1.86,No,2.91,60,93000.0,1,1,1
865,2021,Female,21,2020,9,Yes,Yes,2,1,Offline,Yes,Yes,3,Advance,100,Yes,No,No,Artificial Intelligence,2,Single,Yes,Family,No,2.75,No,3.81,120,96000.0,1,3,2
867,2020,Male,23,2019,10,Yes,Yes,2,1,Offline,Yes,Yes,6,Intermediate,100,No,No,No,Networking,1,Single,No,Family,No,2.91,No,3.98,91,97000.0,1,3,2
871,2021,Male,20,2021,8,No,Yes,4,2,Online,Yes,No,5,Intermediate,100,No,No,No,Cyber security,1,Single,No,Family,No,2.33,No,3.45,102,100000.0,1,2,2
872,2020,Female,24,2018,9,No,Yes,3,3,Offline,Yes,Yes,3,Intermediate,68,No,No,No,Networking,4,In a relationship,Yes,Bachelor,No,2.76,No,3.56,123,110000.0,1,3,2
876,2020,Male,20,2020,11,No,Yes,4,1,Online,Yes,Yes,2,Advance,100,Yes,No,No,Cyber security,1,Single,Yes,Bachelor,No,2.56,No,3.6,143,120000.0,1,3,2
879,2019,Female,22,2019,11,No,Yes,2,1,Offline,Yes,Yes,3,Basic,100,No,No,Yes,Web development skill(Backend),4,Single,Yes,Bachelor,No,1.86,No,2.93,143,121000.0,1,1,1
880,2022,Male,20,2020,5,No,Yes,1,2,Offline,Yes,Yes,3,Intermediate,100,Yes,No,Yes,Web development skill(Frontend),4,Single,Yes,Bachelor,No,1.87,No,2.94,68,121000.0,1,1,1
882,2022,Female,21,2021,6,No,Yes,3,3,Offline,Yes,Yes,2,Intermediate,100,Yes,No,Yes,Artificial Intelligence,4,In a relationship,Yes,Bachelor,No,1.4,No,2.54,77,130000.0,1,1,1
